Cluster,label,totalDataPoints,PercentLabelInCluster, numberOfDataPointsPerLabelInCluster,percentOfLabelTypeInCluster
Cluster 1,15 below,5783.0,0.04271139546947951,247.0,0.9801587301587301
Cluster 1,16-19,5783.0,0.03354660210963168,194.0,0.9847715736040609
Cluster 1,20-29,5783.0,0.04184679232232405,242.0,0.9918032786885246
Cluster 1,30-39,5783.0,0.19211481929794225,1111.0,0.9955197132616488
Cluster 1,40-49,5783.0,0.4655023344284973,2692.0,0.9981460882461994
Cluster 1,50+,5783.0,0.2242780563721252,1297.0,0.9961597542242704

Cluster 2,15 below,2.0,1.0,2.0,0.007936507936507936
Cluster 2,16-19,2.0,0.0,0.0,0.0
Cluster 2,20-29,2.0,0.0,0.0,0.0
Cluster 2,30-39,2.0,0.0,0.0,0.0
Cluster 2,40-49,2.0,0.0,0.0,0.0
Cluster 2,50+,2.0,0.0,0.0,0.0

Cluster 3,15 below,2.0,0.0,0.0,0.0
Cluster 3,16-19,2.0,0.0,0.0,0.0
Cluster 3,20-29,2.0,0.0,0.0,0.0
Cluster 3,30-39,2.0,0.5,1.0,0.0008960573476702509
Cluster 3,40-49,2.0,0.5,1.0,0.0003707823507601038
Cluster 3,50+,2.0,0.0,0.0,0.0

Cluster 4,15 below,6.0,0.3333333333333333,2.0,0.007936507936507936
Cluster 4,16-19,6.0,0.16666666666666666,1.0,0.005076142131979695
Cluster 4,20-29,6.0,0.3333333333333333,2.0,0.00819672131147541
Cluster 4,30-39,6.0,0.0,0.0,0.0
Cluster 4,40-49,6.0,0.0,0.0,0.0
Cluster 4,50+,6.0,0.16666666666666666,1.0,0.0007680491551459293

Cluster 5,15 below,5.0,0.2,1.0,0.003968253968253968
Cluster 5,16-19,5.0,0.4,2.0,0.01015228426395939
Cluster 5,20-29,5.0,0.0,0.0,0.0
Cluster 5,30-39,5.0,0.0,0.0,0.0
Cluster 5,40-49,5.0,0.0,0.0,0.0
Cluster 5,50+,5.0,0.4,2.0,0.0015360983102918587

Cluster 6,15 below,10.0,0.0,0.0,0.0
Cluster 6,16-19,10.0,0.0,0.0,0.0
Cluster 6,20-29,10.0,0.0,0.0,0.0
Cluster 6,30-39,10.0,0.4,4.0,0.0035842293906810036
Cluster 6,40-49,10.0,0.4,4.0,0.0014831294030404152
Cluster 6,50+,10.0,0.2,2.0,0.0015360983102918587

